YEAR;SHOW;RUNNING ORDER;COUNTRY;ARTIST;SONG TITLE;LANGUAGE;PLACE;POINTS
1956;Grand Final;01;Netherlands;Jetty Paerl;"De vogels van Holland";Dutch;;
1956;Grand Final;02;Switzerland;Lys Assia;"Das alte Karussell";German;;
1956;Grand Final;03;Belgium;Fud Leclerc;"Messieurs les noyés de la Seine";French;;
1956;Grand Final;04;Germany;Walter Andreas Schwarz;"Im Wartesaal zum großen Glück";German;;
1956;Grand Final;05;France;Mathé Altéry;"Le temps perdu";French;;
1956;Grand Final;06;Luxembourg;Michèle Arnaud;"Ne crois pas";French;;
1956;Grand Final;07;Italy;Franca Raimondi;"Aprite le finestre";Italian;;
1956;Grand Final;08;Netherlands;Corry Brokken;"Voorgoed voorbij";Dutch;;
1956;Grand Final;09;Switzerland;Lys Assia;"Refrain";French;1;
1956;Grand Final;10;Belgium;Mony Marc;"Le plus beau jour de ma vie";French;;
1956;Grand Final;11;Germany;Freddy Quinn;"So geht das jede Nacht";German;;
1956;Grand Final;12;France;Dany Dauberson;"Il est là";French;;
1956;Grand Final;13;Luxembourg;Michèle Arnaud;"Les amants de minuit";French;;
1956;Grand Final;14;Italy;Tonina Torrielli;"Amami se vuoi";Italian;;
1957;Grand Final;01;Belgium;Bobbejaan Schoepen;"Straatdeuntje";Dutch;8;5
1957;Grand Final;02;Luxembourg;Danièle Dupré;"Amours mortes (tant de peine)";French;4;8
1957;Grand Final;03;United Kingdom;Patricia Bredin;"All";English;7;6
1957;Grand Final;04;Italy;Nunzio Gallo;"Corde della mia chitarra";Italian;6;7
1957;Grand Final;05;Austria;Bob Martin;"Wohin, kleines Pony?";German;10;3
1957;Grand Final;06;Netherlands;Corry Brokken;"Net als toen";Dutch;1;31
1957;Grand Final;07;Germany;Margot Hielscher;"Telefon, Telefon";German;4;8
1957;Grand Final;08;France;Paule Desjardins;"La belle amour";French;2;17
1957;Grand Final;09;Denmark;Birthe Wilke & Gustav Winckler;"Skibet skal sejle i nat";Danish;3;10
1957;Grand Final;10;Switzerland;Lys Assia;"L'enfant que j'étais";French;8;5
1958;Grand Final;01;Italy;Domenico Modugno;"Nel blu dipinto di blu";Italian;3;13
1958;Grand Final;02;Netherlands;Corry Brokken;"Heel de wereld";Dutch;9;1
1958;Grand Final;03;France;André Claveau;"Dors, mon amour";French;1;27
1958;Grand Final;04;Luxembourg;Solange Berry;"Un grand amour";French;9;1
1958;Grand Final;05;Sweden;Alice Babs;"Lilla stjärna";Swedish;4;10
1958;Grand Final;06;Denmark;Raquel Rastenni;"Jeg rev et blad ud af min dagbog";Danish;8;3
1958;Grand Final;07;Belgium;Fud Leclerc;"Ma petite chatte";French;5;8
1958;Grand Final;08;Germany;Margot Hielscher;"Für zwei Groschen Musik";German;7;5
1958;Grand Final;09;Austria;Liane Augustin;"Die ganze Welt braucht Liebe";German;5;8
1958;Grand Final;10;Switzerland;Lys Assia;"Giorgio";German, Italian;2;24
1959;Grand Final;01;France;Jean Philippe;"Oui, oui, oui, oui";French;3;15
1959;Grand Final;02;Denmark;Birthe Wilke;"Uh, jeg ville ønske jeg var dig";Danish;5;12
1959;Grand Final;03;Italy;Domenico Modugno;"Piove (Ciao, ciao bambina)";Italian;6;9
1959;Grand Final;04;Monaco;Jacques Pills;"Mon ami Pierrot";French;11;1
1959;Grand Final;05;Netherlands;Teddy Scholten;"Een beetje";Dutch;1;21
1959;Grand Final;06;Germany;Alice & Ellen Kessler;"Heute Abend wollen wir tanzen geh'n";German;8;5
1959;Grand Final;07;Sweden;Brita Borg;"Augustin";Swedish;9;4
1959;Grand Final;08;Switzerland;Christa Williams;"Irgendwoher";German;4;14
1959;Grand Final;09;Austria;Ferry Graf;"Der K und K Kalypso aus Wien";German;9;4
1959;Grand Final;10;United Kingdom;Pearl Carr & Teddy Johnson;"Sing, Little Birdie";English;2;16
1959;Grand Final;11;Belgium;Bob Benny;"Hou toch van mij";Dutch;6;9
1960;Grand Final;01;United Kingdom;Bryan Johnson;"Looking High, High, High";English;2;25
1960;Grand Final;02;Sweden;Siw Malmkvist;"Alla andra får varann";Swedish;10;4
1960;Grand Final;03;Luxembourg;Camillo Felgen;"So laang we's du do bast";Luxembourgish;13;1
1960;Grand Final;04;Denmark;Katy Bødtger;"Det var en yndig tid";Danish;10;4
1960;Grand Final;05;Belgium;Fud Leclerc;"Mon amour pour toi";French;6;9
1960;Grand Final;06;Norway;Nora Brockstedt;"Voi Voi";Norwegian;4;11
1960;Grand Final;07;Austria;Harry Winter;"Du hast mich so fasziniert";German;7;6
1960;Grand Final;08;Monaco;François Deguelt;"Ce soir-là";French;3;15
1960;Grand Final;09;Switzerland;Anita Traversi;"Cielo e terra";Italian;8;5
1960;Grand Final;10;Netherlands;Rudi Carrell;"Wat een geluk";Dutch;12;2
1960;Grand Final;11;Germany;Wyn Hoop;"Bonne nuit ma chérie";German;4;11
1960;Grand Final;12;Italy;Renato Rascel;"Romantica";Italian;8;5
1960;Grand Final;13;France;Jacqueline Boyer;"Tom Pillibi";French;1;32
1961;Grand Final;01;Spain;Conchita Bautista;"Estando contigo";Spanish;9;8
1961;Grand Final;02;Monaco;Colette Deréal;"Allons, allons les enfants";French;10;6
1961;Grand Final;03;Austria;Jimmy Makulis;"Sehnsucht";German;15;1
1961;Grand Final;04;Finland;Laila Kinnunen;"Valoa ikkunassa";Finnish;10;6
1961;Grand Final;05;Yugoslavia;Ljiljana Petrović;"Neke davne zvezde" (Неке давне звезде);Serbian;8;9
1961;Grand Final;06;Netherlands;Greetje Kauffeld;"Wat een dag";Dutch;10;6
1961;Grand Final;07;Sweden;Lill-Babs;"April, april";Swedish;14;2
1961;Grand Final;08;Germany;Lale Andersen;"Einmal sehen wir uns wieder";German, French;13;3
1961;Grand Final;09;France;Jean-Paul Mauric;"Printemps, avril carillonne";French;4;13
1961;Grand Final;10;Switzerland;Franca di Rienzo;"Nous aurons demain";French;3;16
1961;Grand Final;11;Belgium;Bob Benny;"September, gouden roos";Dutch;15;1
1961;Grand Final;12;Norway;Nora Brockstedt;"Sommer i Palma";Norwegian;7;10
